,index,0
54,0xba12222222228d8ba445958a75a0704d566bf2c8,1
55,0x167a9333bf582556f35bd4d16a7e80e191aa6476,1
56,0x9acbb72cf67103a30333a32cd203459c6a9c3311,1
57,0x3cc936b795a188f0e246cbb2d74c5bd190aecf18,1
58,0x49ff149d649769033d43783e7456f626862cd160,1
59,0x7ccef9ed17824214d60403171d889bd4ce878b27,1
60,0x68b22215ff74e3606bd5e6c1de8c2d68180c85f7,1
61,0xfd564fcb003801c43313ed0848f245bd70f1e951,1
62,0x916ed5586bb328e0ec1a428af060dc3d10919d84,1
63,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,1
64,0x4d246be90c2f36730bb853ad41d0a189061192d3,1
65,0x5770815b0c2a09a43c9e5aecb7e2f3886075b605,1
66,0x6643887784cb89cc9537dbb7ea20b00c45abeefb,1
67,0xe88f7dee993e57788bdab011ddf3696a421fb9f0,1
68,0x95b564f3b3bae3f206aa418667ba000afafacc8a,1
69,0x000000cce580fb2b76b2d1196c237db199d82505,1
70,0xf3e36ad56aa85abdacc18c02d19509ae4f7d5899,1
71,0x1111111254fb6c44bac0bed2854e76f90643097d,1
72,0x2d615795a8bdb804541c69798f13331126ba0c09,1
73,0xfd021e3cf72d4dea6109e2fe7da177dfd519d4d2,1
74,0x00000000003b3cc22af3ae1eac0440bcee416b40,1
75,0xfac62a00468bdfa4c880267dbb484b31da89f3ff,1
76,0x2057cfb9fd11837d61b294d514c5bd03e5e7189a,1
77,0x8c54ebdd960056d2cff5998df5695daca1fc0190,1
78,0x0000000000007f150bd6f54c40a34d7c3d5e9f56,1
79,0xfc154cf1e6a99e7434e11863a73215071ad9d6e8,1
80,0xff4e804c5e0bde560fcc63ca320ed56efaff2c33,1
81,0xfd2db685f285179e1153ddd03ea6a21a03087d92,1
82,0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,1
83,0xfd3dfb524b2da40c8a6d703c62be36b5d8540626,1
84,0x002e1798bff1ea5bcd703133eb61706070080c19,1
85,0xfa103c21ea2df71dfb92b0652f8b1d795e51cdef,1
86,0xd11616e66b128c0b756b91cc13466defaae67d07,1
